"Depth [cm]","Median Age [kyrs]","BWT [deg C]","Q0.025","Q0.16","Q0.84","Q0.975"
2.5,0.4440572,4.5360556122218,3.47945526231732,4.02232050762316,5.0498903903417,5.543901392128
5,0.632391855,4.43186118539824,3.32264316678383,3.8835074701553,4.97923891751807,5.49402643806777
33,8.955269,5.29782734257856,4.21335994721027,4.74956869307444,5.84570459853681,6.38261177294609
67.5,12.849403725,4.80032192087086,3.58908975846034,4.18240277488029,5.40579848970752,5.9435487806781
68,12.895918225,4.82068709110336,3.60368108693248,4.20762182118068,5.42015431802097,5.9485479589477
72.5,13.337197575,4.91549083992478,3.85238574663681,4.40417338275152,5.43087602729654,5.9322268166828
77.5,13.741634935,4.6756486591158,3.62729904056681,4.15512536015836,5.19539377919122,5.70785302571056
87.5,14.63170165,5.1056193247842,4.16280330180692,4.6290926983763,5.5824146664787,6.06293337899699
90,14.8697168,5.14483694274172,4.19826808172443,4.66831464836583,5.6189550501094,6.09555738663612
95,15.28830485,5.17842560973615,4.24051816744509,4.70845167672365,5.64600801029029,6.12053971230974
97.5,15.488144475,5.15100094528387,4.20585633469499,4.67941147295214,5.62359236360346,6.1014963609926
102.5,15.7754433,5.13056948238397,4.19950212761713,4.66522850456604,5.59745005307143,6.0694815127416
105,15.92821935,5.15721540506227,4.21049037385537,4.68420916790626,5.62962079371586,6.1106014665999
110,16.21958355,5.15190616369429,4.20866786108259,4.67452244793682,5.62962336971196,6.11198884472131
120,16.72805525,4.92146599908084,3.89438825905705,4.41237823755811,5.42942300712596,5.94527842444791
122.5,16.8258587975,4.99563275026305,3.93835623243038,4.47185913726204,5.5205128435735,6.03007768973436
127.5,17.029416475,5.20962469988611,4.17325068818315,4.70341423955075,5.71663118416385,6.20414349902359
135,17.31811125,5.3314473277552,4.36523917306074,4.85643417859391,5.80698490340951,6.28893991113585
140,17.584300125,5.27903113908272,4.30345608801228,4.78856546281954,5.76974176032877,6.25593252928248
155,18.5485674,5.11892700886594,4.13222888484276,4.62435879419954,5.61201668847647,6.11047085588237
160,18.945469275,5.00038213758213,4.03386127948201,4.52168658353942,5.47931957046618,5.95095500607878
162.5,19.144702225,4.91779859977992,3.93674908268181,4.42922906441746,5.40745806747924,5.88736302406514
165,19.382139275,4.82438702476774,3.84602315839996,4.34001204846516,5.31144087024062,5.79347827356088
167.5,19.60223625,4.75951633416062,3.81414227042461,4.2884440545876,5.23234469245333,5.70374473567447
175,20.236029525,4.79704232204781,3.85446769778876,4.32408775480647,5.26786922523621,5.74047082271413
177.5,20.461918605,4.79470245806919,3.83658009566751,4.31628698101137,5.27554981229119,5.75725055789742
180,20.755133675,4.68282432753532,3.72657755110053,4.20729487749593,5.16367239031514,5.63454780483539
185,21.3750988,4.46891560437376,3.5890438799437,4.03560080941019,4.90329529742223,5.36502146226536
187.5,21.69233995,4.4910729767149,3.63023616895747,4.06309223799405,4.92098416853489,5.39655904095739
187.5,21.69233995,4.4910729767149,3.63023616895747,4.06309223799405,4.92098416853489,5.39655904095739
190,21.966920725,4.50506975702974,3.57856450974433,4.05246924960148,4.96176135271918,5.45126847363899
192.5,22.235758325,4.30654102717178,3.260972588432,3.78429499480865,4.82656742763855,5.33756694450462
195,22.387203975,4.16664447921233,3.14014178447516,3.65140924404704,4.6862492022788,5.20177373102177
197.5,22.52425069,4.10556467003168,3.11598242339953,3.60713494924153,4.60463000808296,5.1169926013757
217.5,23.7195234,3.85663847581301,2.8853445520886,3.37279076230279,4.33828719784343,4.82160194084217
220,23.871441645,3.86509922933881,2.89210964406795,3.37300324173906,4.35690478903496,4.8522101160403
227.5,24.3148149,4.00646823470868,2.997113633063,3.49597329050498,4.51521736015284,5.0219031018242
230,24.460265025,4.06909124432991,3.06000947679329,3.5654171843596,4.5709022758944,5.05957312092715
237.5,24.897979018,4.14968223003503,3.18361497918104,3.67520024586535,4.6233819594056,5.09475439066275
240,25.1018639,4.11933489061279,3.1508707173474,3.63700218144461,4.60170900901328,5.0776749047088
242.5,25.33768225,4.0402289050381,3.07767085453188,3.55708369874114,4.52249780081047,5.00064638059803
245,25.7116843,3.95767037861822,3.00884190583576,3.48450499954692,4.42916919960056,4.90350746102748
247.5,26.056646625,3.95868753230626,3.01479062576818,3.49048271491662,4.42461404072432,4.90085409972439
252.5,26.901681325,3.95475720312127,3.09743859122244,3.51830830231499,4.39288986847771,4.8663337135867
255,27.259785575,3.85955242483242,3.02504772587094,3.43819601546579,4.28252453371216,4.77136991899315
255,27.259785575,3.85955242483242,3.02504772587094,3.43819601546579,4.28252453371216,4.77136991899315
257.5,27.6238596125,3.79107460146518,2.92163608714979,3.36436525779013,4.21378117452365,4.6697166323387
260,27.87010385,3.79190667815839,2.94731287611123,3.3849487455653,4.19711108359804,4.62601491951795
260,27.87010385,3.79190667815839,2.94731287611123,3.3849487455653,4.19711108359804,4.62601491951795
